Scrip Code,COMPANY,Close Price,ISIN Code
532418,Andhra Bank,60.25,INE434A01013
500013,Ansal Properties & Infrastructure Ltd,19.8,INE436A01026
506260,Anuh Pharma Ltd,179.3,INE489G01022
532259,Apar Industries Ltd,551.9,INE372A01015
523694,Apcotex Industries Ltd,382.85,INE116A01024
533758,APL Apollo Tubes Ltd,966.05,INE702C01019
500877,Apollo Tyres Ltd,183,INE438A01022
532475,Aptech Ltd,124.7,INE266F01018
532914,Arcotech Ltd,378.25,INE574I01027
516064,Arrow Greentech Ltd,439.85,INE570D01018
506074,Arshiya Ltd,28.55,INE968D01022
500101,Arvind Limited,311.45,INE034A01011
515030,Asahi India Glass Ltd,196.75,INE439A01020
532853,Asahi Songwon Colors Ltd,187.15,INE228I01012
535467,Ashapura Intimates Fashion Ltd.,370.8,INE428O01016
527001,Ashapura Minechem Ltd.,63.3,INE348A01023
523716,Ashiana Housing Ltd,162.9,INE365D01021
533271,Ashoka Buildcon Ltd,158.75,INE442H01029
532888,Asian Granito Limited,229.8,INE022I01019
533138,Astec Lifesciences Limited,420.95,INE563J01010
532493,Astra Microwave Products Ltd.,116.5,INE386C01029
532830,Astral Polytechnik Ltd,475.05,INE006I01046
506820,AstraZeneca Pharm India,1029.1,INE203A01020
532759,Atlanta Ltd/India,59.65,INE285H01022
531795,Atul Auto Ltd,446.9,INE951D01028
500027,Atul Ltd.,2225.85,INE100A01010
532668,AurionPro Solutions Ltd,128.35,INE132H01018
505010,Automotive Axles Ltd.,651.1,INE449A01011
512573,Avanti Feeds Ltd,549.35,INE871C01020
519105,AVT Natural Products Ltd,30.25,INE488D01021
532395,AXISCADES Engineering Technologies Ltd,206.15,INE555B01013
508933,AYM Syntex Ltd,80.9,INE193B01039
533229,Bajaj Corp Ltd,398.35,INE933K01021
500031,Bajaj Electricals Ltd,266.2,INE193E01025
500032,Bajaj Hindusthan Sugar Ltd,17.55,INE306A01021
532382,Balaji Telefilms Ltd,84.4,INE794B01026
502355,Balkrishna Industries Ltd,873.6,INE787D01026
500102,Ballarpur Industries Ltd,14.36,INE294A01037
523319,Balmer Lawrie & Co. Ltd.,696.05,INE164A01016
500038,Balrampur Chini Mills Ltd,107.2,INE119A01028
500039,Banco Products India Ltd,216.1,INE213C01025
532525,Bank Of Maharashtra,31.45,INE457A01014
500042,BASF India Limited,1132.35,INE373A01013
500043,Bata India Ltimited,533.9,INE176A01028
506285,Bayer CropScience Ltd/India,4010,INE462A01022
500048,BEML Ltd,1065.35,INE258A01016
533303,BF Investment Ltd,166.55,INE878K01010
532430,BF Utilities Ltd,612.05,INE243D01012
532930,BGR Energy Systems Ltd,115.85,INE661I01014
503960,Bharat Bijlee Ltd.,760.6,INE464A01028
533228,Bharat Financial Inclusion Ltd,818.15,INE180K01011
526666,Bhartiya International Ltd,548.15,INE828A01016
500055,Bhushan Steel Ltd,41.55,INE824B01021
500059,Binani Industries Ltd,109.35,INE071A01013
500335,Birla Corp Ltd,653.2,INE340A01012
506197,Bliss Gvs Pharma Ltd,148.45,INE416D01022
500067,Blue Star Ltd,500.75,INE472A01039
524370,Bodal Chemicals Limited,107.95,INE338D01028
501425,Bombay Burmah Trading Corp Ltd.,502.2,INE050A01025
500020,Bombay Dyeing & Manufacturing Co Ltd,44.45,INE032A01023
532929,Brigade Enterprises Ltd,169.8,INE791I01019
533276,BS Limited,6.38,INE043K01029
531373,Byke Hospitality Ltd/The,160.05,INE319B01014
532834,Camlin Fine Sciences Ltd,86.8,INE052I01032
511196,Can Fin Homes Ltd,1491,INE477A01012
532938,Capital First Ltd.,700.25,INE688I01017
538476,Capital Trade Links Ltd,79,INE172D01021
524742,Caplin Point Laboratories Ltd,1200.25,INE475E01018
513375,Carborundum Universal Ltd,274.55,INE120A01034
533260,Career Point Ltd,106.1,INE521J01018
532282,Castex Technologies Ltd,11.07,INE068D01021
519600,CCL Products (India) Ltd.,273.7,INE421D01022
500878,CEAT Ltd,894.15,INE482A01020
517544,Centum Electronics Limited,489.55,INE320B01020
500280,Century Enka Ltd.,257.5,INE485A01015
532548,Century Plyboards India Ltd,215.75,INE348B01021
500040,Century Textile & Industries Ltd,724.3,INE055A01016
532443,Cera Sanitaryware Ltd,2402.2,INE739E01017
500084,CESC Ltd,666.85,INE486A01013
500085,Chambal Fertilizers & Chemicals Ltd,67.95,INE085A01013
500110,Chennai Petroleum Corp Ltd,294.25,INE178A01016
511243,Cholamandalam Investment & Finance Co. Ltd.,1159.25,INE121A01016
534758,Cigniti Technologies Ltd,427.25,INE675C01017
532210,City Union Bank Ltd.,132.3,INE491A01021
506390,Clariant Chemicals India Ltd,730.35,INE492A01029
533288,Claris Lifesciences Ltd,253.15,INE562G01018
522295,CONTROL PRIN,265.05,INE663B01015
506395,Coromandel International Ltd,268.3,INE169A01031
532179,Corp Bank,42.8,INE112A01023
508814,Cosmo Films Ltd,359.4,INE757A01017
526550,Country Club Hospitality & Holidays Ltd,12.23,INE652F01027
533144,Cox & Kings Ltd,187.4,INE008I01026
534804,Credit Analysis & Research Ltd,1247.65,INE752H01013
512379,Cressanda Solutions Ltd,2.9,INE716D01033
532175,Cyient Ltd,500,INE136B01020
533146,D-Link India Ltd,85.9,INE250K01012
533309,Dalmia Bharat Ltd,1664.25,INE439L01019
532528,Datamatics Global Services Ltd,77.95,INE365B01017
533151,DB Corp Ltd,411.25,INE950I01011
530393,DB International Stock Brokers Ltd,17,INE921B01025
533160,DB Realty Ltd,49.55,INE879I01012
532772,DCB Bank Ltd,120.1,INE503A01015
523367,DCM Shriram Ltd,226.8,INE499A01024
500117,DCW Ltd,30,INE500A01029
512068,Deccan Gold Mines Ltd,56.75,INE945F01025
532760,Deep Industries Ltd,199.05,INE677H01012
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,216.25,INE501A01019
506401,Deepak Nitrite Limited,113.7,INE288B01029
532848,Delta Corp. Ltd.,154.5,INE124G01033
533137,Den Networks Ltd,78.9,INE947J01015
532121,Dena Bank,37.1,INE077A01010
511072,Dewan Housing Finance Corp Ltd,290.7,INE202B01012
500119,Dhampur Sugar Mills Ltd.,109.3,INE041A01016
532180,Dhanlaxmi Bank Ltd,22.55,INE680A01011
507717,Dhanuka Agritech Ltd,760.95,INE435G01025
522163,Diamond Power Infrastructure Ltd,37.65,INE989C01012
500089,DIC India Ltd,563.55,INE303A01010
532839,Dish TV India Ltd,98.4,INE836F01026
532526,Dishman Pharmaceuticals & Chemicals Ltd,176.6,INE353G01020
522261,Dolphin Offshore Enterprises (India) Ltd,88.8,INE920A01011
523618,Dredging Corp Of India,452.05,INE506A01018
505242,Dynamatic Technologies Ltd.,2815.05,INE221B01012
532927,eClerx Services Ltd,1613.85,INE738I01010
532922,Edelweiss Financial Services Ltd,115.6,INE532F01054
532696,Educomp Solutions Ltd,12.82,INE216H01027
500125,EID Parry India Ltd,254.4,INE126A01031
500840,EIH Ltd,110.35,INE230A01023
500123,Elantas Beck India Ltd,1639.95,INE280B01018
505700,Elecon Engineering Co. Ltd.,57.4,INE205B01023
500128,Electrosteel Castings Ltd.,23.35,INE086A01029
533264,Electrosteel Steels Ltd,3.41,INE481K01013
522074,Elgi Equipments Ltd.,186.45,INE285A01027
504008,Emco Ltd.,29.35,INE078A01026
532178,Engineers India Ltd,261.7,INE510A01028
532700,Entertainment Network India,770.15,INE265F01028
523754,EPC Industrie Ltd,162.95,INE215D01010
533261,Eros International Media Ltd,217,INE416L01017
500495,Escorts Ltd,324.8,INE042A01014
532787,Ess Dee Aluminium Ltd.,61.05,INE825H01017
500135,Essel Propack Ltd.,223.4,INE255A01020
531508,Eveready Industries India Ltd,286.6,INE128A01029
508906,Everest Industries Ltd,264.15,INE295A01018
532511,Excel Crop Care Limited,1257.95,INE223G01017
500650,Excel Industries Ltd,315.95,INE369A01029
505790,Fag Bearings India Ltd,4090,INE513A01014
531599,FDC Ltd,188.4,INE258B01022
500139,Fedders Lloyd Corp. Ltd.,70.75,INE249C01011
500469,Federal Bank Ltd,68.8,INE171A01029
505744,Federal-Mogul Goetze India Ltd.,448.15,INE529A01010
532768,FIEM Industries Limited,1042.85,INE737H01014
526881,Financial Technologies India Ltd,76,INE111B01023
533333,Fineotex Chemical Ltd,27.4,INE045J01026
500144,Finolex Cables Ltd,443.8,INE235A01022
500940,Finolex Industries Ltd,485,INE183A01016
532809,Firstsource Solutions Ltd,43.8,INE684F01012
533638,Flexituff International Ltd,199.15,INE060J01017
500033,Force Motors Ltd,3108.4,INE451A01017
532843,Fortis Healthcare Ltd.,178,INE061F01013
533400,Future Consumer Enterprise Ltd,20.6,INE220J01025
536507,Future Lifestyle Fashions Limited,128.8,INE452O01016
505714,Gabriel India Ltd,117.8,INE524A01029
533265,Gallantt Ispat Ltd,583.8,INE528K01011
509550,Gammon India Ltd,17.25,INE259B01020
526367,Ganesh Housing Corp Ltd,79,INE460C01014
514167,Ganesha Ecosphere Ltd,214.05,INE845D01014
509557,Garware Wall Ropes Ltd,476.4,INE276A01018
532622,Gateway Distriparks Ltd,279.1,INE852F01015
532345,Gati Ltd,139.65,INE152B01027
532767,Gayatri Projects Ltd,685.25,INE336H01015
530343,Genus Power Infrastructures Ltd,45.6,INE955D01029
532285,Geojit BNP Paribas Financial Services Ltd,39.25,INE007B01023
532312,Geometric Ltd,231.2,INE797A01021
500171,GHCL Ltd,253,INE539A01019
511676,GIC Housing Finance Ltd,314.35,INE289B01019
507815,Gillette India Ltd,4470.8,INE322A01010
532715,Gitanjali Gems,44.8,INE346H01014
501848,Global Offshore Services Ltd,130.8,INE446C01013
533104,Globus Spirits Ltd,79.1,INE615I01010
506480,GOCL Corporation Ltd,259.65,INE077F01035
532734,Godawari Power & Ispat Ltd,55.5,INE177H01013
500163,Godfrey Phillips India Ltd,1208.6,INE260B01028
533150,Godrej Properties Ltd,358.95,INE484J01027
532630,Gokaldas Exports Ltd,74.6,INE887G01027
532786,GOL Offshore Ltd.,40.3,INE892H01017
530655,Goodluck India Ltd,114.15,INE127I01024
500168,Goodyear (India),561.8,INE533A01012
532543,GP Petroleums Ltd,57.8,INE586G01017
532482,Granules India Ltd,129.1,INE101D01020
509488,Graphite India Ltd.,74.7,INE371A01025
505710,Grauer & Weil (India) Ltd,29.75,INE266D01021
533282,Gravita India Ltd,30.45,INE024L01027
500620,Great Eastern Shipping Co Ltd/The,368.9,INE017A01032
501455,Greaves Cotton Ltd.,138.25,INE224A01026
526797,Greenply Industries Ltd.,269.95,INE461C01038
506076,Grindwell Norton Ltd,326.4,INE536A01023
511288,GRUH Finance Ltd.,330.45,INE580B01029
532775,GTL Infrastructure Ltd,2.18,INE221H01019
500160,GTL Ltd,11.4,INE043A01012
530001,Gujarat Alkalies & Chemicals Ltd.,315.55,INE186A01019
524226,Gujarat Ambuja Exports Ltd,88.4,INE036B01022
500173,Gujarat Fluorochemicals,591.55,INE538A01037
517300,Gujarat Industries Power,88.6,INE162A01010
532181,Gujarat Mineral Development Corp Ltd,96.6,INE131A01031
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,153.7,INE113A01013
512579,Gujarat NRE Coke Ltd,3.13,INE110D01013
570003,Gujarat NRE Coke Ltd DVR,2.15,IN9110D01011
533248,Gujarat Pipavav Port Ltd,177.95,INE517F01014
500690,Gujarat State Fertilisers & Chemicals Ltd,75.9,INE026A01025
532702,Gujarat State Petronet Ltd,151.3,INE246F01010
538567,Gulf Oil Lubricants India Ltd,710.6,INE635Q01029
532708,GVK Power & Infrastructure Ltd,6.64,INE251H01024
533162,Hathway Cables and Datacom Ltd,30.2,INE982F01036
531531,Hatsun Agro Products Ltd,342.95,INE473B01035
508486,HawkiBO Cookers Ltd,2993.15,INE979B01015
517271,HBL Power Systems Ltd.,33.2,INE292B01021
500179,HCL Infosystems Ltd,39.85,INE236A01020
509631,HEG Ltd,177.5,INE545A01016
500292,HeidelbergCement India Ltd.,137.25,INE578A01017
505720,Hercules Hoists Ltd,164.55,INE688E01024
519552,Heritage Foods Ltd,751.8,INE978A01019
524669,HESTER PHARM,764.65,INE782E01017
532129,Hexaware Technologies Ltd,202.7,INE093A01033
517080,High Ground Enterprise Ltd,38.65,INE361M01021
524735,Hikal Ltd.,182,INE475B01022
509675,HIL Ltd.,622.45,INE557A01011
500183,Himachal Futuristic Communications Ltd,17.1,INE548A01028
514043,Himatsingka Seide,259.55,INE049A01027
532859,Hinduja Global Solutions Ltd,576.75,INE170I01016
500189,Hinduja Ventures Ltd,445.85,INE353A01023
500185,Hindustan Construction Co,27.5,INE549A01026
513599,Hindustan Copper,65.6,INE531E01026
533217,Hindustan Media Ventures Ltd,285.2,INE871K01015
500186,Hindustan Oil Exploration Co Ltd,49.35,INE345A01011
523398,Hitachi Home & Life Solutions (India) Ltd.,1536.85,INE782A01015
522064,Honda Siel Power Products Ltd,1281.05,INE634A01018
517174,Honeywell Automation India Ltd,9792.55,INE671A01010
500193,Hotel Leela Venture Ltd,18.1,INE102A01024
532873,Housing Development & Infrastructure Ltd,92.6,INE191I01012
500187,HSIL Ltd,347.8,INE415A01038
532662,HT Media,83,INE501G01024
532799,Hubtown Ltd,93,INE703H01016
509820,Huhtamaki PPL Ltd,282.5,INE275B01026
532835,ICRA Ltd.,3858.25,INE725G01011
507438,IFB Agro Industries Ltd,386,INE076C01018
505726,IFB Industries Ltd,390.05,INE559A01017
500106,IFCI Ltd,28.3,INE039A01010
532133,IFGL Refractories Ltd,135.9,INE023B01012
500199,IG Petrochemicals Ltd,174.8,INE204A01010
517380,Igarashi Motors India Ltd,713.6,INE188B01013
532636,IIFL Holdings Ltd,279.2,INE530B01024
532907,IL&FS Engineering & Construction Co. Ltd,49.55,INE369I01014
511208,IL&FS Investment Managers Ltd.,14.95,INE050B01023
533177,IL&FS Transportation Networks Ltd,73.8,INE975G01012
509162,Indag Rubber Ltd,185.35,INE802D01023
530005,India Cements Ltd,149.85,INE383A01012
500201,India Glycols,107.45,INE560A01015
532832,Indiabulls Real Estate Ltd,82.15,INE069I01010
532960,Indiabulls Ventures Ltd,27.9,INE274G01010
504741,Indian Hume Pipe Co Ltd,601.15,INE323C01030
532388,Indian Overseas Bank,26.65,INE565A01014
533329,Indian Terrain Fashions Ltd,146.5,INE611L01021
521016,Indo Count Industries Ltd,817.4,INE483B01018
532717,Indo Tech Transformers Ltd,200.1,INE332H01014
532612,Indoco Remedies Ltd.,315.35,INE873D01024
533257,INDOSOLAR LIMITED,7.3,INE866K01015
532514,Indraprastha Gas Ltd,799.45,INE203G01019
532150,Indraprastha Medical Corp. Ltd.,57.65,INE681B01017
506222,INEOS Styrolution India Ltd,571.8,INE189B01011
533154,Infinite Computer Solutions India Ltd,228,INE486J01014
532777,Info Edge (India) Ltd.,826.55,INE663F01024
500210,Ingersoll-Rand (India) Ltd,728.35,INE177A01018
532706,Inox Leisure,282.95,INE312H01016
539083,Inox Wind Ltd,188.5,INE066P01011
532851,Insecticides (India) Ltd.,478.5,INE070I01018
538835,Intellect Design Arena Ltd.,188.25,INE306R01017
502330,International Paper APPM Ltd,289.35,INE435A01028
533181,Intrasoft Technologies Ltd,433.9,INE566K01011
500214,Ion Exchange (India) Ltd,300.3,INE570A01014
524494,Ipca Laboratories Ltd,541.05,INE571A01020
532947,IRB Infrastructure Developers Ltd,226.4,INE821I01014
533033,ISGEC Heavy Engineering Ltd,4950.1,INE858B01011
509496,ITD Cementation India Ltd,143.05,INE686A01026
523610,ITI Ltd,29.45,INE248A01017
530773,IVRCL Ltd,5.29,INE875A01025
532940,J Kumar Infraprojects Ltd,172.7,INE576I01022
530007,J. K. Tyre Industries Ltd,131.95,INE573A01042
506943,J.B.Chemicals & Pharmaceuticals Ltd.,326.85,INE572A01028
532644,J.K. Cement Ltd.,792.05,INE823G01014
538422,Jackson Investments Ltd,7.38,INE508N01025
532705,Jagran Prakashan Ltd,190.35,INE199G01027
512237,Jai Corp Ltd,74.25,INE070D01027
500219,Jain Irrigation Systems Ltd,84.15,INE175A01038
570004,Jain Irrigation Systems Ltd DVR,50.75,IN9175A01010
532627,Jaiprakash Power Ventures Ltd,4.95,INE351F01018
532209,Jammu & Kashmir Bank Ltd,70.4,INE168A01041
520051,Jamna Auto Industries Ltd,221.1,INE039C01024
520066,Jay Bharat Maruti Ltd,170.65,INE571B01028
533207,Jaypee Infratech Ltd,9.49,INE099J01015
509715,Jayshree Tea & Industries Ltd,107.3,INE364A01020
514034,JBF Industries Ltd.,199.5,INE187A01017
532605,JBM Auto Components Ltd,221.35,INE927D01028
524731,Jenburkt Pharmaceuticals Ltd,351.75,INE354A01013
532617,Jet Airways India Ltd,539.55,INE802G01018
500227,Jindal Poly Films Ltd.,419.75,INE197D01010
500380,JK Lakshmi Cement Ltd,451.4,INE786A01032
532162,JK Paper Ltd.,59.5,INE789E01012
523405,JM Financial Ltd,66.4,INE780C01023
522263,JMC Projects India Ltd,242.7,INE890A01016
513691,JMT Auto Ltd,49.8,INE988E01028
532642,JSW Holdings Limited,1277.9,INE824G01012
533155,Jubilant FoodWorks Ltd,1173.35,INE797F01012
530019,Jubilant Life Sciences Ltd,537.15,INE700A01033
535648,Just Dial Ltd,496.1,INE599M01018
532926,Jyothy Laboratories Ltd,308.05,INE668F01031
513250,Jyoti Structures Ltd,13.1,INE197A01024
524109,Kabra Extrusiontechnik Ltd,112.55,INE900B01029
500233,Kajaria Ceramics Ltd.,1258,INE217B01028
522259,Kalindee Rail Nirman (Engineers) Lt,119.2,INE178D01010
522287,Kalpataru Power Transmission Ltd,260.5,INE220B01022
533302,Kalyani Investment Company Ltd,1316.4,INE029L01018
500235,Kalyani Steels Ltd,340.45,INE907A01026
506525,Kanoria Chemicals & Industries Ltd,70.8,INE138C01024
532652,Karnataka Bank Ltd,151.55,INE614B01018
532899,Kaveri Seed Co Ltd,359.5,INE455I01029
539276,Kaya Ltd,727.8,INE587G01015
532054,KDDL Ltd,229.65,INE291D01011
532714,KEC International Ltd/India,135.2,INE389H01022
517569,KEI Industries Ltd,116.3,INE878B01027
519602,Kellton Tech Solutions Ltd,119.9,INE164B01022
533289,Kesar Terminals & Infrastructure Ltd,260.15,INE096L01025
532732,Kewal Kiran Clothing,1813.45,INE401H01017
532967,Kiri Industries Ltd,290,INE415I01015
500241,Kirloskar Brothers,160.75,INE732A01036
500245,Kirloskar Ferrous Industries Ltd,84.55,INE884B01025
533293,Kirloskar Oil Engines Ltd,279.8,INE146L01010
521248,Kitex Garments Ltd,486.45,INE602G01020
532942,KNR Constructions Ltd,717.25,INE634I01011
512559,Kohinoor Foods Ltd,63.05,INE080B01012
523207,Kokuyo Camlin Ltd,78.2,INE760A01029
532924,Kolte-Patil Developers Ltd,118.95,INE094I01018
524280,Kopran Ltd,48.85,INE082A01010
532400,KPIT Technologies Ltd,127.45,INE836A01035
532889,KPR Mill Ltd,1138.45,INE930H01015
530813,KRBL Ltd,269.95,INE001B01026
533482,Kridhan Infra Limited,73.9,INE524L01026
500249,KSB Pumps Ltd,659.1,INE999A01015
532997,KSK Energy Ventures Ltd,28.05,INE143H01015
531882,Kwality Ltd,120.6,INE775B01025
526947,La Opala Rg Ltd.,551.7,INE059D01020
500252,Lakshmi Machine Works Ltd,4084.3,INE269B01029
534690,Lakshmi Vilas Bank Ltd.,143.4,INE694C01018
532778,Lanco Infratech Ltd,4.63,INE785C01048
500250,LG Balakrishnan & Brothers Ltd.,475.05,INE337A01034
526596,Liberty Shoes Ltd,171.2,INE557B01019
531241,LINC PEN PLA,285.9,INE802B01019
523457,Linde India Ltd,386.05,INE473A01011
517518,Lloyd Electric & Engineering Ltd,257.95,INE245C01019
533343,Lovable Lingerie Ltd,254.1,INE597L01014
532796,Lumax Auto Technologies Limited,424.75,INE872H01019
517206,Lumax Industries Ltd,652.7,INE162B01018
532368,Lycos Internet Ltd,11.21,INE425B01027
522241,M M Forgings Ltd,430.05,INE227C01017
531497,Madhucon Projects Ltd.,48.7,INE378D01032
524000,Magma Fincorp Ltd.,100.2,INE511C01022
500108,Mahanagar Telephone Nigam,21.45,INE153A01019
500266,Maharashtra Scooters Ltd.,1560.7,INE288A01013
500265,Maharashtra Seamless Ltd,224.2,INE271B01025
532756,Mahindra CIE Automotive Ltd,177.25,INE536H01010
533088,Mahindra Holidays & Resorts India Ltd,487.25,INE998I01010
532313,Mahindra Lifespace Developers Ltd,432.8,INE813A01018
539289,Majesco Ltd,484.9,INE898S01029
513269,Man Industries (India) Ltd.,54.45,INE993A01026
533169,Man Infraconstruction Ltd,48.85,INE949H01023
530011,Managalore Chemicals & Fertilizers Ltd.,45.65,INE558B01017
500268,Manali Petrochemicals Ltd.,30.7,INE201A01024
531213,Manappuram Finance Ltd,85.4,INE522D01027
533204,Mandhana Industries Ltd,112.1,INE087J01010
502157,Mangalam Cement Ltd,354.05,INE347A01017
539207,Manpasand Beverages Ltd,737.75,INE122R01018
524404,Marksans Pharma Ltd,40.75,INE750C01026
523704,Mastek Ltd,129.25,INE759A01021
532613,Maxwell Industries Ltd,65.15,INE450G01024
522249,Mayur Uniquoters Ltd,434.35,INE040D01038
533152,MBL Infrastructure Ltd,77.7,INE912H01013
532654,McLeod Russel India Ltd,182.05,INE942G01012
532629,McNally Bharat Engineering Co. Ltd.,67.7,INE748A01016
532865,Meghmani Organics Ltd,40.75,INE974H01013
539126,MEP Infrastructure Developers Ltd,43.8,INE776I01010
526235,Mercator Ltd.,50.55,INE934B01028
500126,Merck Ltd.,722.3,INE199A01012
